iter	Logloss
0	0.683855279
1	0.6760524732
2	0.6668868304
3	0.6596378337
4	0.6520171843
5	0.6463679245
6	0.6402689119
7	0.6348938912
8	0.630967108
9	0.623998652
10	0.6177747892
11	0.6133445238
12	0.6086573342
13	0.6049802707
14	0.601379426
15	0.596823594
16	0.5935564055
17	0.5892314638
18	0.5856276139
19	0.5819724468
20	0.5779880093
21	0.5741680718
22	0.571379638
23	0.5677045896
24	0.5648760781
25	0.5609392532
26	0.557419615
27	0.5549669944
28	0.5525222304
29	0.5503208875
30	0.5474501752
31	0.5452913812
32	0.5439873782
33	0.5415478828
34	0.5394372378
35	0.5384141561
36	0.5363084627
37	0.5336044903
38	0.5312273655
39	0.5288210461
40	0.5270143394
41	0.5253941503
42	0.5228584479
43	0.5210579891
44	0.5199874606
45	0.5180329518
46	0.5154690913
47	0.5135369753
48	0.5112506962
49	0.5082315174
50	0.5058380122
51	0.5036315812
52	0.501054807
53	0.4992356434
54	0.4979530851
55	0.4958607461
56	0.493988504
57	0.4922819734
58	0.4909500655
59	0.4890046509
60	0.4867853019
61	0.4848222106
62	0.4828083099
63	0.4809540295
64	0.4789082279
65	0.4771661775
66	0.4759918459
67	0.4746311665
68	0.4729754261
69	0.471569604
70	0.4705773572
71	0.4687370762
72	0.4676658054
73	0.4661743518
74	0.4653143028
75	0.4640290782
76	0.4627803042
77	0.4607854666
78	0.4590727696
79	0.4575948343
80	0.4561650411
81	0.4542076801
82	0.4530386529
83	0.4519679051
84	0.4504882364
85	0.4492902396
86	0.4478997598
87	0.4466760591
88	0.4457161265
89	0.4445576711
90	0.4430476135
91	0.441725712
92	0.4399826277
93	0.4385622316
94	0.4371942386
95	0.4361216648
96	0.4345632961
97	0.4339567064
98	0.4323505352
99	0.431612552
100	0.4306012925
101	0.428658897
102	0.4266648803
103	0.4245646156
104	0.4230379537
105	0.4217446744
106	0.4205460454
107	0.4190844001
108	0.4180986373
109	0.4166780947
110	0.4157097878
111	0.4144543432
112	0.4137941437
113	0.4124074412
114	0.4109530997
115	0.4101884779
116	0.4087293102
117	0.4071520842
118	0.4057073653
119	0.4046969853
120	0.4026880238
121	0.4016392215
122	0.4007802932
123	0.3997947824
124	0.3987036836
125	0.3968715061
126	0.3947699912
127	0.3938330736
128	0.3931191279
129	0.3921680006
130	0.3909448198
131	0.3897818376
132	0.3887364354
133	0.3874862555
134	0.3865871567
135	0.384820974
136	0.3833709174
137	0.3826208007
138	0.3815392667
139	0.3805282967
140	0.3794339469
141	0.3782114626
142	0.3773658361
143	0.3768071116
144	0.3762069097
145	0.3750984834
146	0.3745954722
147	0.3739099528
148	0.3730245179
149	0.3719154277
150	0.3710430903
151	0.3695912127
152	0.3688698542
153	0.3683830671
154	0.367235475
155	0.3661837803
156	0.3651852127
157	0.3638419122
158	0.3628533484
159	0.3621820263
160	0.3611529271
161	0.3605487346
162	0.3592472189
163	0.3585431529
164	0.3573117965
165	0.3565813873
166	0.3557357131
167	0.3546609484
168	0.3530366553
169	0.3516652894
170	0.3507019559
171	0.3501406204
172	0.3488324068
173	0.3480366243
174	0.3471343852
175	0.3459444193
176	0.3447698295
177	0.3439367375
178	0.3427724597
