iter	Passed	Remaining
0	11	11899
1	22	11088
2	32	10748
3	43	10713
4	53	10651
5	64	10635
6	74	10596
7	85	10569
8	95	10495
9	105	10427
10	115	10393
11	126	10377
12	136	10358
13	147	10372
14	157	10355
15	167	10328
16	178	10348
17	189	10350
18	200	10333
19	211	10346
20	221	10340
21	232	10352
22	243	10324
23	253	10310
24	263	10276
25	273	10244
26	283	10208
27	293	10181
28	303	10154
29	313	10135
30	323	10104
31	333	10080
32	343	10062
33	353	10046
34	364	10037
35	374	10018
36	383	9994
37	394	9983
38	405	9988
39	416	9984
40	426	9979
41	437	9968
42	447	9952
43	457	9937
44	467	9915
45	477	9893
46	486	9870
47	496	9854
48	506	9833
49	516	9811
50	526	9790
51	535	9768
52	545	9751
53	555	9734
54	565	9723
55	576	9712
56	586	9708
57	597	9703
58	608	9703
59	618	9687
60	628	9677
61	638	9659
62	648	9640
63	657	9621
64	668	9610
65	678	9595
66	688	9580
67	698	9567
68	707	9552
69	717	9534
70	727	9517
71	737	9501
72	747	9490
73	757	9477
74	767	9470
75	777	9458
76	788	9446
77	798	9440
78	809	9433
79	819	9419
80	829	9415
81	840	9408
82	850	9393
83	860	9386
84	871	9378
85	881	9373
86	893	9373
87	904	9378
88	915	9373
89	926	9366
90	936	9356
91	947	9351
92	958	9350
93	970	9355
94	982	9360
95	994	9360
96	1005	9357
97	1016	9358
98	1028	9362
99	1040	9365
100	1051	9359
101	1063	9361
102	1074	9357
103	1084	9346
104	1094	9332
105	1105	9319
106	1115	9309
107	1126	9303
108	1136	9292
109	1147	9287
110	1158	9280
111	1170	9276
112	1180	9268
113	1192	9264
114	1202	9255
115	1213	9244
116	1223	9236
117	1234	9225
118	1244	9214
119	1255	9204
120	1265	9193
121	1276	9184
122	1286	9174
123	1296	9162
124	1307	9153
125	1318	9143
126	1328	9134
127	1339	9126
128	1350	9118
129	1360	9106
130	1371	9095
131	1381	9084
132	1391	9072
133	1401	9059
134	1411	9046
135	1421	9029
136	1430	9013
137	1440	8997
138	1450	8984
139	1460	8969
140	1470	8955
141	1480	8943
142	1490	8930
143	1499	8914
144	1509	8903
145	1520	8895
146	1531	8885
147	1541	8876
148	1552	8865
149	1562	8854
150	1572	8839
151	1581	8824
152	1591	8809
153	1601	8798
154	1611	8784
155	1620	8769
156	1630	8755
157	1640	8741
158	1649	8726
159	1659	8711
160	1668	8695
161	1678	8684
162	1689	8673
163	1699	8662
164	1710	8655
165	1721	8646
166	1731	8635
167	1741	8626
168	1751	8614
169	1761	8602
170	1772	8591
171	1782	8580
172	1792	8568
173	1802	8557
174	1813	8547
175	1823	8535
176	1832	8521
177	1842	8509
178	1852	8496
179	1862	8486
180	1873	8475
181	1883	8463
182	1894	8457
183	1905	8450
184	1915	8440
185	1926	8429
186	1937	8421
187	1947	8410
188	1957	8398
189	1966	8385
190	1977	8374
191	1987	8362
192	1997	8351
193	2007	8342
194	2018	8332
195	2028	8320
196	2038	8307
197	2047	8295
198	2058	8283
199	2067	8271
200	2077	8259
201	2088	8251
202	2099	8241
203	2109	8230
204	2119	8219
205	2130	8209
206	2140	8199
207	2150	8188
208	2160	8177
209	2170	8165
210	2180	8154
211	2190	8141
212	2200	8130
213	2210	8118
214	2220	8108
215	2230	8097
216	2240	8086
217	2250	8074
218	2260	8063
219	2271	8054
220	2282	8044
221	2293	8036
222	2303	8026
223	2313	8014
224	2323	8003
225	2333	7991
226	2343	7980
227	2353	7968
228	2363	7956
229	2373	7944
230	2382	7932
231	2392	7921
232	2402	7910
233	2412	7898
234	2423	7887
235	2432	7876
236	2442	7864
237	2453	7854
238	2463	7843
239	2473	7834
240	2483	7822
241	2493	7810
242	2504	7800
243	2514	7790
244	2524	7778
245	2534	7768
246	2544	7756
247	2554	7745
248	2564	7733
249	2574	7723
250	2584	7711
251	2594	7701
252	2604	7688
253	2613	7676
254	2623	7665
255	2634	7656
256	2644	7644
257	2654	7634
258	2664	7623
259	2674	7612
260	2684	7602
261	2694	7590
262	2704	7578
263	2714	7566
264	2723	7554
265	2733	7543
266	2743	7532
267	2753	7521
268	2763	7509
269	2773	7499
270	2784	7489
271	2794	7478
272	2804	7467
273	2814	7456
274	2826	7450
275	2836	7441
276	2847	7433
277	2858	7424
278	2869	7415
279	2881	7408
280	2892	7400
281	2902	7389
282	2912	7378
283	2922	7367
284	2932	7357
285	2942	7346
286	2952	7334
287	2962	7323
288	2971	7311
289	2981	7299
290	2991	7288
291	3001	7278
292	3011	7267
293	3022	7258
294	3033	7249
295	3043	7239
296	3054	7229
297	3064	7218
298	3074	7208
299	3084	7197
300	3094	7186
301	3104	7176
302	3114	7165
303	3125	7154
304	3134	7143
305	3144	7132
306	3154	7121
307	3164	7110
308	3174	7099
309	3184	7088
310	3195	7078
311	3204	7067
312	3215	7058
313	3226	7048
314	3236	7039
315	3247	7029
316	3257	7018
317	3267	7008
318	3277	6997
319	3287	6986
320	3297	6975
321	3307	6965
322	3318	6954
323	3327	6943
324	3337	6932
325	3347	6921
326	3357	6910
327	3367	6899
328	3377	6888
329	3387	6877
330	3398	6868
331	3409	6859
332	3419	6849
333	3430	6839
334	3440	6829
335	3450	6818
336	3460	6808
337	3471	6798
338	3481	6788
339	3491	6778
340	3502	6767
341	3512	6757
342	3522	6746
343	3532	6735
344	3541	6724
345	3551	6713
346	3561	6702
347	3571	6691
348	3582	6682
349	3593	6672
350	3604	6663
351	3613	6652
352	3623	6641
353	3632	6629
354	3642	6617
355	3651	6606
356	3661	6594
357	3671	6583
358	3681	6573
359	3690	6561
360	3700	6549
361	3709	6537
362	3719	6526
363	3728	6515
364	3737	6502
365	3747	6491
366	3756	6479
367	3766	6468
368	3777	6458
369	3787	6448
370	3797	6437
371	3807	6427
372	3816	6415
373	3826	6405
374	3836	6394
375	3846	6383
376	3856	6372
377	3866	6362
378	3876	6351
379	3885	6339
380	3895	6328
381	3905	6317
382	3914	6306
383	3924	6295
384	3934	6284
385	3944	6273
386	3954	6263
387	3964	6253
388	3975	6244
389	3986	6235
390	3996	6224
391	4006	6213
392	4015	6202
393	4025	6191
394	4035	6180
395	4044	6169
396	4054	6158
397	4064	6147
398	4074	6137
399	4084	6126
400	4094	6116
401	4104	6106
402	4114	6095
403	4124	6085
404	4135	6075
405	4145	6065
406	4156	6055
407	4167	6046
408	4178	6037
409	4188	6028
410	4199	6018
411	4210	6008
412	4220	5998
413	4230	5987
414	4240	5977
415	4251	5967
416	4261	5957
417	4271	5947
418	4282	5938
419	4292	5928
420	4303	5918
421	4313	5908
422	4323	5897
423	4334	5888
424	4345	5878
425	4355	5869
426	4367	5860
427	4377	5850
428	4387	5840
429	4398	5830
430	4408	5820
431	4419	5810
432	4429	5800
433	4439	5789
434	4449	5779
435	4459	5769
436	4469	5758
437	4479	5748
438	4490	5738
439	4500	5727
440	4510	5717
441	4521	5708
442	4531	5698
443	4542	5688
444	4553	5679
445	4564	5669
446	4574	5659
447	4584	5649
448	4594	5638
449	4604	5627
450	4614	5616
451	4624	5606
452	4633	5595
453	4644	5585
454	4654	5574
455	4664	5564
456	4674	5553
457	4684	5543
458	4694	5532
459	4703	5521
460	4713	5511
461	4723	5500
462	4734	5491
463	4745	5481
464	4755	5471
465	4766	5461
466	4776	5451
467	4786	5441
468	4797	5431
469	4807	5420
470	4816	5409
471	4826	5398
472	4835	5387
473	4845	5377
474	4855	5366
475	4864	5355
476	4874	5344
477	4883	5333
478	4893	5322
479	4902	5310
480	4912	5300
481	4922	5290
482	4932	5279
483	4942	5269
484	4952	5259
485	4962	5248
486	4972	5237
487	4982	5227
488	4991	5216
489	5001	5205
490	5011	5194
491	5020	5183
492	5030	5172
493	5039	5162
494	5050	5152
495	5060	5142
496	5071	5132
497	5080	5121
498	5091	5111
499	5100	5100
500	5110	5090
501	5121	5080
502	5132	5070
503	5141	5060
504	5152	5050
505	5162	5039
506	5172	5029
507	5182	5019
508	5192	5008
509	5202	4998
510	5212	4987
511	5222	4977
512	5232	4966
513	5242	4956
514	5252	4946
515	5262	4936
516	5272	4926
517	5282	4915
518	5292	4905
519	5303	4895
520	5313	4885
521	5324	4875
522	5335	4865
523	5345	4856
524	5356	4846
525	5367	4836
526	5377	4826
527	5387	4816
528	5397	4805
529	5406	4794
530	5416	4784
531	5426	4773
532	5436	4763
533	5445	4752
534	5455	4741
535	5464	4730
536	5474	4720
537	5484	4709
538	5495	4699
539	5505	4689
540	5515	4679
541	5525	4669
542	5535	4659
543	5545	4648
544	5555	4638
545	5565	4627
546	5575	4617
547	5586	4607
548	5596	4597
549	5605	4586
550	5615	4575
551	5624	4565
552	5634	4554
553	5643	4543
554	5653	4532
555	5664	4523
556	5674	4513
557	5684	4502
558	5695	4493
559	5704	4482
560	5716	4473
561	5727	4463
562	5736	4452
563	5746	4442
564	5755	4431
565	5765	4420
566	5775	4410
567	5784	4399
568	5794	4389
569	5805	4379
570	5815	4368
571	5824	4358
572	5834	4347
573	5844	4337
574	5854	4326
575	5864	4317
576	5875	4307
577	5885	4296
578	5895	4286
579	5905	4276
580	5915	4265
581	5925	4255
582	5934	4244
583	5944	4234
584	5954	4224
585	5964	4214
586	5974	4203
587	5984	4193
588	5994	4182
589	6005	4172
590	6014	4162
591	6025	4152
592	6035	4142
593	6045	4132
594	6056	4122
595	6067	4112
596	6078	4102
597	6089	4093
598	6101	4084
599	6113	4075
600	6125	4066
601	6138	4058
602	6151	4049
603	6163	4041
604	6174	4031
605	6187	4022
606	6200	4014
607	6213	4005
608	6226	3997
609	6238	3988
610	6250	3979
611	6261	3969
612	6273	3960
613	6286	3951
614	6298	3943
615	6311	3934
616	6323	3925
617	6335	3915
618	6348	3907
619	6362	3899
620	6374	3890
621	6386	3880
622	6398	3871
623	6411	3863
624	6439	3863
625	6451	3854
626	6464	3845
627	6478	3837
628	6491	3828
629	6504	3819
630	6515	3809
631	6527	3800
632	6540	3792
633	6552	3782
634	6564	3773
635	6576	3763
636	6589	3755
637	6602	3746
638	6615	3737
639	6627	3727
640	6640	3719
641	6654	3710
642	6666	3701
643	6679	3692
644	6693	3683
645	6705	3674
646	6716	3664
647	6727	3654
648	6737	3643
649	6747	3633
650	6758	3623
651	6768	3612
652	6779	3602
653	6790	3592
654	6800	3582
655	6811	3571
656	6821	3561
657	6833	3551
658	6844	3541
659	6855	3531
660	6867	3522
661	6879	3512
662	6889	3501
663	6899	3491
664	6909	3480
665	6919	3470
666	6929	3459
667	6940	3449
668	6950	3438
669	6960	3428
670	6970	3417
671	6979	3406
672	6989	3396
673	6999	3385
674	7009	3374
675	7018	3364
676	7029	3353
677	7039	3343
678	7049	3332
679	7060	3322
680	7072	3312
681	7082	3302
682	7092	3291
683	7102	3281
684	7112	3270
685	7122	3260
686	7132	3249
687	7142	3238
688	7151	3228
689	7162	3217
690	7172	3207
691	7182	3196
692	7192	3186
693	7202	3175
694	7213	3165
695	7223	3155
696	7234	3144
697	7244	3134
698	7255	3124
699	7265	3113
700	7276	3103
701	7286	3093
702	7297	3082
703	7307	3072
704	7317	3062
705	7327	3051
706	7338	3041
707	7348	3030
708	7358	3020
709	7368	3009
710	7378	2999
711	7388	2988
712	7398	2978
713	7409	2968
714	7420	2957
715	7431	2947
716	7441	2937
717	7451	2926
718	7462	2916
719	7475	2906
720	7487	2897
721	7499	2887
722	7510	2877
723	7523	2868
724	7536	2858
725	7548	2849
726	7560	2838
727	7572	2829
728	7584	2819
729	7596	2809
730	7608	2799
731	7619	2789
732	7631	2779
733	7643	2770
734	7656	2760
735	7669	2751
736	7681	2741
737	7693	2731
738	7706	2721
739	7718	2712
740	7730	2701
741	7740	2691
742	7751	2681
743	7762	2670
744	7772	2660
745	7782	2649
746	7793	2639
747	7804	2629
748	7815	2618
749	7825	2608
750	7836	2598
751	7846	2587
752	7856	2577
753	7866	2566
754	7876	2556
755	7886	2545
756	7897	2535
757	7907	2524
758	7916	2513
759	7926	2503
760	7936	2492
761	7946	2481
762	7956	2471
763	7966	2460
764	7976	2450
765	7987	2439
766	7997	2429
767	8008	2419
768	8018	2408
769	8029	2398
770	8039	2387
771	8049	2377
772	8059	2366
773	8069	2356
774	8079	2345
775	8090	2335
776	8100	2324
777	8109	2314
778	8119	2303
779	8129	2292
780	8139	2282
781	8149	2271
782	8158	2261
783	8169	2250
784	8179	2240
785	8190	2229
786	8199	2219
787	8209	2208
788	8219	2198
789	8229	2187
790	8239	2177
791	8249	2166
792	8258	2155
793	8268	2145
794	8277	2134
795	8287	2123
796	8296	2113
797	8307	2102
798	8317	2092
799	8326	2081
800	8336	2071
801	8345	2060
802	8356	2049
803	8366	2039
804	8377	2029
805	8387	2018
806	8397	2008
